actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,VENTA DE VIVERES Y ABARROTES AL DETAL Y POR MOSTRADOR,5578
Trabajando,,,,,No,VENTA DE VIVERES Y ABARROTES AL DETAL EN EL AREA RURAL,5579
Trabajando,,,,,No,GANADERIA CEBA Y ORDENO DE GANADO SIEMBRA DE PLATANO YUCA MAIZ,5580
Estudiando,Sí,,,,Ya es pensionado,ACTIVIDADES DE VAQUERIA Y OTROS OFICIOS AGROPECUARIOS COMO LIMPIA DE POTREROS CON GUADANA BOMBA DE ESPALDA  O MACHETE,5581
Trabajando,,,,,No,TALA DE ARBOLES Y PRODUCCION DE LECHE CRUDA GANADERIA,5582
Trabajando,,,,,No,TRANSPORTE PASAJEROS EN EL CASCO URBANO Y RURAL,5583
Trabajando,,,,,No,GANADERIA CEBA DE GANADO CULTIVO DE MAIZ,5584
Trabajando,,,,,No,DESMONTAR POTREROS CON MACHETE,5585
Trabajando,,,,,No,CULTIVAR LA TIERRA,5586
Trabajando,,,,,Sí,VENTA DE BANANO A OTROS PAISES,5587
Trabajando,,,,,Sí,SALVAGUARDAR EL INTERES PUBLICO CIUDADANO Y GARANTIZAR LA PROCTECION DE LOS DERECHOS HUMANOS,5588
Trabajando,,,,,Sí,VERIFICAR Y CONTROLAR LAS PRUEBAS PERICIALES Y EXAMENES FORENSES,5589
Trabajando,,,,,No,COMERCIO AL POR MENOR DE BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS,5590
Oficios del hogar,No,No,Sí,,No,COMERCIO AL POR MENOR DE BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS,5591
Trabajando,,,,,No,FINCAS GANADERAS DE CRIA DE GANADO BOVINO PARA LA PRPDUCCION DE LECHE,5592
Oficios del hogar,Sí,,,,No,COMERCIO AL POR MENOR DE VIVERES Y ABARROTES EN UNA TIENDA,5593
Trabajando,,,,,No,ACTIVIDADES DE LA PRACTICA VETERINARIA,5594
Trabajando,,,,,No,CULTIVO DE PECES EN CRIADERO PISCICOLAS PARA LA VENTA,5595
Trabajando,,,,,Sí,ENTREGAR RECIBOS DE LUZ A VIVIENDA,5596
Trabajando,,,,,No,FI DOBLE PROPOSITO CARNE Y LECHE,5597
Trabajando,,,,,No,VENTA Y TRANSPORTE DE VIVERES Y ABARROTES EN ZONA RURAL,5598
Trabajando,,,,,No,ONDUCTOR DE SERVICIO PUBLICO TERRESTRE DE PASAJEROS EN ZONA URBANA,5599
Oficios del hogar,Sí,,,,No,CEBA Y ORDENO DE GANADO,5600
Trabajando,,,,,Sí,ARMADA NACIONAL DE COLOMBIA,5601
Trabajando,,,,,Sí,SEGURIDAD Y DEFENSA DE LA NACION,5602
Trabajando,,,,,No,LIMPIEZA,5603
Trabajando,,,,,No,ADMINISTRAR EL NEGOCIO,5604
Trabajando,,,,,Sí,LUGAR DE ENCUENTRO ESPIRITUAL Y RELIGIOSO,5605
Buscando trabajo,Sí,,,,No,PINTAR VIVIENDAS LOCALES ETC,5606
Trabajando,,,,,No,CORTE Y CREACION DE PRODUCTOS A BASE DE MADERA,5607
Trabajando,,,,,Sí,SOLUCIONES ANALITICAS CONTACT CENTER,5608
Oficios del hogar,Sí,,,,No,ELABORAR DULCE DE MARJABLANCO,5609
Trabajando,,,,,No,COMERCIO DE BEBIDAS ALCOHOLICAS,5610
Trabajando,,,,,No,VENTA AL POR MENOR DE CACHARROS EN GENERAL POR ENCARGO,5611
Trabajando,,,,,No,VENTA AL POR MENOR DE CACHARROS EN GENERAL,5612
Trabajando,,,,,No,SIEMBRA CULTIVA Y RECOGE CAFE O CACAO SEGUN TEMPORADA,5613
Trabajando,,,,,Sí,VENTA AL POR MENOR DE MERCANCIA EN GENERAL,5614
Trabajando,,,,,Sí,ACTIVIDADES DE CENTRO DE LLAMADAS,5615
Trabajando,,,,,Sí,A LA FABRICACION Y VENTA DE CERAMICAS,5616
Trabajando,,,,,No,SIEMBRA YUCA MAIZ Y ARROZ,5617
Estudiando,No,No,Sí,,No,SIEMBRA DE YUCA MAIZ ARROZ,5618
Trabajando,,,,,Sí,FORMACION ACADEMICA DE HOMBRES Y MUJERES DE LA ARMADA NACIONAL,5619
Oficios del hogar,Sí,,,,No,MARKETIN DIGITAL PUBLICIDAD,5620
Trabajando,,,,,No,LIMPIEZA CERCADO DE PREDIOS,5621
Trabajando,,,,,No,CRIA DE POLLOS Y GANADO PARA LA VENTA,5622
Trabajando,,,,,No,CORTE PODA Y ARREGLO DE TERRENO CON MAQUINA,5623
Oficios del hogar,No,No,Sí,,No,PRODUCCION DE LECHE CRUDA,5624
Buscando trabajo,Sí,,,,No,COMUNICACION Y PERIODISMO,5625
Trabajando,,,,,No,TRABAJO SOCIAL,5626
Trabajando,,,,,Sí,PROCESOS DE ENSENANZA EN PRIMARIA Y SECUNDARIA,5627
Trabajando,,,,,No,CULTIVO Y VENTA DE YUCA,5628
Trabajando,,,,,No,PREPARACION Y VENTA DE COMIDAS RAPIDAS HAMBIRGUESAS PERROS CALIENTES Y SALCHIPAPAS,5629
Trabajando,,,,,No,AGRICULTURA SIEMBRA DE PLATANO YUCA,5630
Trabajando,,,,,No,TRANSPORTE DE MAQUINARIA PESADA,5631
Trabajando,,,,,Sí,VENTA Y DISTRIBUCION PRODUCTOS DE BELLEZA POR CATALOGO,5632
Trabajando,,,,,Sí,PROMOVER Y SALVAGUARDAR LOS INTERESES DEL PAIS Y SUS NACIONALES ANTE OTROS ESTADOS,5633
Trabajando,,,,,No,VENTA DE PRODUCTOS DE BELLEZA POR CATALOGO,5634
Trabajando,,,,,Sí,SERVICIO DE INSTALACION Y REPARACION DE NEVERAS,5635
Oficios del hogar,No,Sí,,,No,TRABAJA EN CASA DE FAMILIA,5636
Trabajando,,,,,No,CRIA Y LEVANTE DE GANADO VACUNO PARA PRODUCCION DE LECHE,5637
Trabajando,,,,,Sí,ARREGLAR TUBERIAS DE AGUA,5638
Oficios del hogar,Sí,,,,No,ELABORACION DE EMPANADAS EN SU CASA,5639
Trabajando,,,,,Sí,TRANSPORTE MARITIMO Y FLUVIAL DE PERSONAS,5640
Trabajando,,,,,No,EMPRESA QUE PRESTA SERVICIO DE TRANSPORTE PUBLICO PARA LA REGION,5641
Oficios del hogar,Sí,,,,No,TEJER BOLSOS EN TRAPILLO,5642
Trabajando,,,,,Sí,VENTA DE CHANCE LOTERIAS Y GIROS DE DINERO,5643
Trabajando,,,,,No,CONSTRUIR VIAS Y VIVIENDAS,5644
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS PUBLICOS,5645
Trabajando,,,,,No,FINCA GANADERA DOBLE Y CARNE,5646
Trabajando,,,,,No,AGRICULTURA,5647
Trabajando,,,,,No,REALIZA LABORES DEL HOGAR EN OTRAS VIVIENDAS,5648
Trabajando,,,,,No,FINCA DOBLE PROPOSITO LECHE Y CARNE,5649
Oficios del hogar,Sí,,,,No,JORNALERO EN OFICIOS VARIOS,5650
Trabajando,,,,,No,REALIZA CORTES DE CABELLO PARA HOMBRE Y DAMA EN AREA URBANA,5651
Trabajando,,,,,No,FINCA GANADERA CRIA DE GANADO BOVINO PARA LA PRODUCCION DE LECHE,5652
Trabajando,,,,,No,CARGA MADERA MAQUINARIA PESADA,5653
Oficios del hogar,Sí,,,,Sí,COMPRA Y VENTA DE ROPA AL POR MENOR,5654
Buscando trabajo,No,No,No,Sí,Ya es pensionado,None,5655
Trabajando,,,,,Ya es pensionado,EDUCACION PRIMARIA BASICA Y MEDIA,5656
Trabajando,,,,,No,HACER LIMPIEZA EN CASAS,5657
Trabajando,,,,,No,CONSTRUCCION Y REPARACION DE CASAS,5658
Trabajando,,,,,Sí,ARMADA NACIONAL,5659
Trabajando,,,,,No,SIEMBRA NO ESPECIALIZADA DE CULTIVO DE PLATANO,5660
Trabajando,,,,,Sí,MANTENIMIENTO DE ALUMBRADO PUBLICO,5661
Trabajando,,,,,Sí,BRINDA SERVICIOS DE VIGILANCIA A EMPRESAS PUBLICAS Y PRIVADAS,5662
Oficios del hogar,Sí,,,,No,ELABORACION Y VENTA DE BOLIS DE FRUTA EN SU VIVIENDA,5663
Trabajando,,,,,No,CONTABILIDAD FINANCIERA,5664
Trabajando,,,,,No,CONTROL DE PLAGAS DE INSECTOS EN ARBOLES FRUTALES CITRICOS Y ORNAMENTALES,5665
Trabajando,,,,,No,SIEMBRA NO ESPECIALIZADA DE CULTIVO DE MAIZ Y YUCA PARA LA VENTA,5666
Trabajando,,,,,No,PRESTAR SERVICIOS DE JUEGOS DE MESA BILLAR O POOL,5667
Trabajando,,,,,Sí,ADMINISTRAR COORDINAR Y SUPERVISAR LOS SERVICIOS QUE PRESTA EL MUNICIPIO,5668
Trabajando,,,,,No,ELABORACION Y VENTA DE GALLETAS,5669
Trabajando,,,,,Ya es pensionado,VENTA DE ROPA Y ACCESORIOS,5670
Trabajando,,,,,Sí,GESTION DE DEMANDAS DEL CIUDADANO EN TORNO A PROBLEMAS SOCIALES,5671
Oficios del hogar,No,No,Sí,,No,FINCA AGRICOLA CULTIVO DE YUCA MAIZ Y PLATANO PARA AUTOCONSUMO,5672
Trabajando,,,,,No,ASPIRANTE A LA GOBERNACION,5673
Trabajando,,,,,Sí,CONSTRUCCION E INVERSION Y VENTA DE VIVIENDAS,5674
Trabajando,,,,,No,SERVICIO DE ALOJAMIENTO POR NOCHE EN UN HOTEL,5675
Trabajando,,,,,No,FUMIGA ENSILA MAIZ SIEMBRA MAIZ YUCA,5676
Buscando trabajo,Sí,,,,No,CRIA Y  VENTA DE GANADO VACUNO EN PIE,5677
Trabajando,,,,,Sí,REGULAR LOS RECURSOS NATURALES Y RENOVABLES,5678
Oficios del hogar,Sí,,,,No,COMPRA Y VENTA DE CIGARRILOS ELECTRONICOS,5679
Trabajando,,,,,No,PRESTAR SERVICIO DE SEGURIDAD  CIUDADANA Y PROTEGER LOS DERECHOS Y LIBERTADES DE LAS PERSONAS,5680
Trabajando,,,,,No,PRESTAR SERVICOS DE SALUD MEDICINAL GENERAL Y ODONTOLOGICA,5681
Buscando trabajo,Sí,,,,No,REPARACION Y MANTENIMIENTO DE MOTORES DIESEL,5682
Trabajando,,,,,No,SERVICIOS  SEXUALES,5683
Trabajando,,,,,No,ADMINISTRADOR Y EJECUTOR DE PROYECTOS DEL MUNICIPIO,5684
Trabajando,,,,,Sí,ASESORIA DE COACH  O ENTRENADOR DE DESARROLLO DE HABILIDADES Y DESTREZAS RESOLVER PROBLEMAS,5685
Trabajando,,,,,No,TRANSPORTAR PASAJERO,5686
Trabajando,,,,,No,FRITOS Y ALMUERZOS PARA LA VENTA,5687
Trabajando,,,,,No,CULTIVA YUCA PLATANO PAPAYA AHUYAMA,5688
Trabajando,,,,,No,TEJER CROCHE ROPA BLUSA BOLSOS OTROS,5689
Trabajando,,,,,Sí,VENTA AL PORMENOR DE BEBIDAS AZUCARADAS Y COMIDA A LA MESA,5690
Estudiando,Sí,,,,No,TOPOGRAFIA,5691
Trabajando,,,,,No,REPARACION DE CONGELADORES NEVERAS LAVADORAS AIRES ACONDICIONADOS VENTILADORES ETC,5692
Trabajando,,,,,Sí,ESTABLECIMIENTO DE EDUCACION NO FORMAL,5693
Trabajando,,,,,Sí,PRESTA SERVICIO DE ENSENANZA PRIMARIA Y SECUNDARIA,5694
Trabajando,,,,,No,VENTA DE AREPAS SIMPLES CON QUESO Y MANTEQUILLA,5695
Trabajando,,,,,No,ELABORACION Y VENTA DE AREPAS SIMPLES CON QUESO Y MANTEQUILLA,5696
Trabajando,,,,,Sí,SUSPENSION DE SERVICIO DE AGUA EN HOGARES,5697
Trabajando,,,,,Sí,SERVICIO DE CORTE TINTE Y CEPILLADO,5698
Trabajando,,,,,Sí,RECOLECTAR INFORMACION Y PRODUCIR ESTADISTICA,5699
Trabajando,,,,,Sí,ACTIVIDADES DE APOYO TERAPEUTICO SALUD MENTAL,5700
Oficios del hogar,Sí,,,,No,PREPARACION Y VENTA DE GALLETAS DULCES,5701
Trabajando,,,,,No,PRESTA ATENCION A TODO LOS PROGRAMAS DE ATENCION VULNERABLE,5702
Trabajando,,,,,No,ORGANIZACION SOCIAL Y PQRTICIPACION DE LOS CIUDADANOS,5703
Trabajando,,,,,No,SERVICIO DE MUDANZA Y TRANSPORTE DE DIFERENTES DE ELEMENTOS EN MOTO CARRO,5704
Buscando trabajo,Sí,,,,No,ARREGLO Y LIMPIEZA DE FINCAS Y POTREROS,5705
Trabajando,,,,,No,VENTA DE QUESO AL POR MAYOR Y MENOR,5706
Trabajando,,,,,No,VENDER PRODUCTOS DE HOGAR ELECTRODOMESTICOS,5707
Trabajando,,,,,No,TRANSPORTAR PERSONAS DE UN LUGAR A OTRO DENTRO DEL MISMO MUNICIPIO,5708
Trabajando,,,,,Sí,VISITAR A CLIENTES,5709
Trabajando,,,,,Sí,SERVICIOS MEDICOS DE URGENCIAS CON INTERNACION,5710
Trabajando,,,,,Sí,PRESTAR SUBDIDIOS A SUS AFILIADOS,5711
Trabajando,,,,,No,ESTETICA,5712
Trabajando,,,,,No,MONTAJES HIDRAULICOS EN EDIFICIOS,5713
Trabajando,,,,,No,ALMACEN VENTA DE ZAPATOS,5714
Trabajando,,,,,No,ADMINISTRAR Y GARANTIZAR LA CONTINUA Y ADECUADA PRESTACION DE LOS SERVICIOS PUBLICOS,5715
Otra actividad ¿cuál?,No,Sí,,,No,PESCA,5716
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE MERCANCIA DENTRO DEL MUNICIPIO EN UN MOTO CARRO,5717
Trabajando,,,,,Sí,SERVICIO DE REPARACION Y MANTENIMIENTO DE MOTOCICLETAS,5718
Oficios del hogar,No,No,Sí,,Sí,SERVICIO DE REPARACION Y MANTENIMIENTO DE MOTOS,5719
Trabajando,,,,,No,CULTIVA DE HORTALIZAS CEBOLLA TOMATE,5720
Trabajando,,,,,Ya es pensionado,VENDER SERVICIOS EN SALUD,5721
Oficios del hogar,Sí,,,,Ya es pensionado,SEMBRAR Y COMERCIALIZAR AJI Y PLATANO,5722
Trabajando,,,,,No,PINTAR Y ARREGLAR VIVIENDAS,5723
Trabajando,,,,,No,DESYERBAR CULTIVOS,5724
Trabajando,,,,,No,ELABORACION Y VENTA AL POR MENOR DE FRITOS EN SU CASA,5725
Trabajando,,,,,No,SIEMBRA Y CULTIVO DE CEBOLLA REPOLLO CILANTRO  FRESA,5726
Trabajando,,,,,No,PRODUCCION DE ALIMENTOS PARA CONSUMO HUMANO ALMUERZOS Y COMIDAS RAPIDAS,5727
Trabajando,,,,,No,PASTOREO DE  GANADO VACUNO,5728
Trabajando,,,,,No,0501 PEZCA Y PRODUCCION DE PECES PISCICOLA,5729
Oficios del hogar,Sí,,,,No,VENTAS DE DULCES,5730
Oficios del hogar,Sí,,,,No,VENTA DE ARTICULOS DE HOGAR POR  CATALOGO,5731
Trabajando,,,,,No,SIEMBRA DE ARROZ,5732
Trabajando,,,,,No,CONSTRUIR INVERNADEROS,5733
Trabajando,,,,,Sí,COERCIALIZACION Y VENTA DE VACUNAS PARA GANADO Y CALZADO EN CUERO,5734
Trabajando,,,,,Sí,COMERCIO DE VEHICULOS,5735
Trabajando,,,,,No,AGRICULTUR SIEMBRA CULTIVA PINA YUCA CHIRO PLATANO,5736
Trabajando,,,,,No,1630 EVANISTERIA,5737
Trabajando,,,,,No,4771 COMERCIO AL POR MENOR DE ABARROTES DE ESTABLECIMIENTOS NO ESPECIALIZADOS DE VIVERES EN GENERAL,5738
Trabajando,,,,,Sí,CONTENIDO PARA CANALES PUBLICOS Y PRIVADOS,5739
Trabajando,,,,,No,PINTURA DE FACHADAS Y VIVIENDAS,5740
Trabajando,,,,,No,SERVICIO DE PARQUEO Y VIGILANCIA DE VEHICULOS AUTOMOTORES,5741
Trabajando,,,,,Sí,SERVICIOS DE ASESORIAS CONTABLES Y FINANCIERAS,5742
Trabajando,,,,,Sí,VENTA AL POR MAYOR DE FRUTAS,5743
Otra actividad ¿cuál?,No,Sí,,,Sí,VENTA AL POR MAYOR DE FRUTAS,5744
Trabajando,,,,,No,620 TRASPORTE COLECTIVO NO REGULAR DE PASAJEROS,5745
Trabajando,,,,,No,CULTIVO CACAO Y CAFE,5746
Trabajando,,,,,No,SERVICIOS GENERALES,5747
Buscando trabajo,Sí,,,,No,CULTIVA COROZO DE PALMA DE ACEITE,5748
Trabajando,,,,,No,HACE ASEO PLANCHA LAVA EN VARIOS HOGARES,5749
Trabajando,,,,,Ya es pensionado,SERVICIOS DE ESCOLTA A PERSONAS,5750
Trabajando,,,,,Sí,ORGANIZAR SILLAS REPARTIR REFRIGERIO RECOGER FIRMAS,5751
Trabajando,,,,,No,MANTENIMIENTO Y ASEO DE LA CASA FINCA,5752
Trabajando,,,,,No,SERVICIO DE DESCANSO,5753
Oficios del hogar,Sí,,,,No,CRIA Y LEVANTE  DE POLLOS,5754
Trabajando,,,,,No,PROPIETARIO DE MOTORATONES,5755
Oficios del hogar,No,Sí,,,No,PROPIETARIO DE TIENDA AL POR MENOR,5756
Trabajando,,,,,No,CULTIVO DE PLATANO YUCA CANA,5757
Trabajando,,,,,No,COMPRA Y VENTA DE MEDICINA NATURAL,5758
Trabajando,,,,,No,VENDE CARGADORES VIDRIOS TEMPLADOS Y CABLES DE CELULARES,5759
Trabajando,,,,,Sí,PORCICULTURA,5760
Trabajando,,,,,Sí,CULTIVO DE CAFE Y PLATANO,5761
Trabajando,,,,,No,ADMINISTRA LOS RECURSOS DEL DEPARTAMENTO GENERANDO BIENESTAR A TODAS LAS PERSONAS,5762
Oficios del hogar,Sí,,,,No,SERVICIO DE LAVADO DE ROPA POR DIA EN DIFERENTES HOGARES,5763
Trabajando,,,,,No,AGRICULTOR SIEMBRA Y CULTIVA PINA PLATANO YUCA CANA,5764
Oficios del hogar,Sí,,,,No,CULTIVAR BANANO,5765
Trabajando,,,,,Sí,SERVICIO MEDICOS CON INTERNACION,5766
Trabajando,,,,,No,COMERCIO,5767
Trabajando,,,,,No,EXTRACCION DE ARENA DEL RIO DE MANERA ARTESANAL,5768
Oficios del hogar,Sí,,,,No,VENDER PRENDAS DE VESTIR POR CATALOGO,5769
Trabajando,,,,,Sí,EXTRACION DE ACEITE DE PALMA AFRICANA,5770
Buscando trabajo,Sí,,,,No,VENTA DE LICORES,5771
Trabajando,,,,,No,SERVICIO DE CARGA Y DESCARGA A MANO ALZADA,5772
Oficios del hogar,Sí,,,,No,VENTA DE NARANJA AL POR MENOR,5773
Oficios del hogar,No,Sí,,,No,CUIDAR UN BEBE,5774
Trabajando,,,,,No,RECICLADORA DE ALUMINIO COBRE BRONCE PLASTICO,5775
Trabajando,,,,,No,COMERCIO VENTA DE BEBIDAS ALCOHOLICAS Y  REFRESCANTES JUEGO DE BILLARPUL,5776
Oficios del hogar,Sí,,,,No,VENTA DE ROPA DE SEGUNDA,5777
Trabajando,,,,,No,FABRICACION DE ARTESANIAS EN FIBRA CHIQUICHIQUI,5778
Trabajando,,,,,No,TRASPORTE URBANO Y RURAL DE PASAJEROS EN MOTOCICLETA,5779
Trabajando,,,,,Ya es pensionado,CULTIVO DE VERDURAS PLATANO PARA VENTA Y AUTOCONSUMO,5780
Trabajando,,,,,No,CULTIVO DE PRODUCTOS TRANSITORIOS Y HORTALIZAS FRIJOL ARVEJA CILANTRO CEBOLLA ESPINACA,5781
Oficios del hogar,Sí,,,,No,VENTA AL POR MENOR DE GRANOS Y ABARROTES,5782
Trabajando,,,,,No,CONSTRUCCION DE EDIFICACIONES CASAS Y EDIFICIOS,5783
Trabajando,,,,,No,PLANCHAR Y BARRER,5784
Estudiando,Sí,,,,No,DISENO DE MODAS,5785
Trabajando,,,,,No,EJECUCION DE PROYECTOS SOCIALES Y COMUNITARIOS,5786
Trabajando,,,,,No,RECICLA PRODUCTOS DE CHATARRA  DE PLASTICO Y CARTON,5787
Oficios del hogar,Sí,,,,No,CORTE DE CABELLO Y TINTURA PARA DAMAS,5788
Trabajando,,,,,Sí,CONVERSION DE CONTAINERS A APTOS CASAS U OFICINAS,5789
Trabajando,,,,,No,LABORES VARIAS EN DIFERENTES CASAS,5790
Trabajando,,,,,Sí,FLUVIAL,5791
Trabajando,,,,,No,VENTA DE DIFERENTES TIPOS DE ALIMENTOS AGRICOLAS,5792
Trabajando,,,,,No,RECOLECTA CEBOLLA CAFE,5793
Trabajando,,,,,No,AGRICULOR SIEMBRA CULTIVA Y VENDE PLATANO MAIZ YUCA,5794
Trabajando,,,,,No,MANTENIMIENTO A ESTACIONES DE GASOLINAS,5795
Trabajando,,,,,No,REPARADOR DE ELECTRODOMESTICOS,5796
Oficios del hogar,No,Sí,,,No,MODISTA,5797
Trabajando,,,,,No,PRODUCCION DE CULTIVO DE CANA DE AZUCAR,5798
Trabajando,,,,,No,VENTA DE MOTOS YELECTRODOMESTICOS,5799
Trabajando,,,,,No,CRIA Y PRODUCCION  DE PECES PARA EL CONSUMO  AVES DE CORRAL POLLOS DE ENCUBADORA,5800
Trabajando,,,,,Sí,SERVICIOS DE ILUMINACION DE OFICINAS Y COMERCIOS COMPRA Y VENTA DE MATERIAL ELECTRICO Y ELECTRONICO,5801
Trabajando,,,,,No,A LA GANADERIA,5802
Trabajando,,,,,No,COMPRA Y VENTA DE CAFE,5803
Trabajando,,,,,No,SIEMBRA DE HORTALIZAS,5804
Trabajando,,,,,No,ENTREGA DE PRODUCTOS DE CATALOGO,5805
Trabajando,,,,,No,CUIDADO DE LAS MANOS,5806
Trabajando,,,,,No,CONERCIO AL POR MENOR DE BANANO VERDE,5807
Trabajando,,,,,No,VENDER LENA,5808
Trabajando,,,,,No,RECREACION Y DIVERSION,5809
Trabajando,,,,,No,SERVICIO DE LAVADO  AUTOMORIZ,5810
Trabajando,,,,,No,CULTIVAR PLANTAS AROMATICAS,5811
Trabajando,,,,,Sí,FABRICACION DE TUBERIAS,5812
Trabajando,,,,,No,GIMNASIO Y ESTETICA CORPORAL,5813
Trabajando,,,,,No,SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE POTREROS CON MACHETE,5814
Trabajando,,,,,No,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,5815
Trabajando,,,,,No,VENTA DE CULTIVO DE COCA,5816
Trabajando,,,,,Sí,CULTIVO DE PRODUCTOS TRANCITORIOS YUCA FRIJOL PLATANO,5817
Trabajando,,,,,No,CRIA DE POLLOS PARA LA VENTA,5818
Trabajando,,,,,No,PREPARACION DE ALIMENTOS EN OTRAS VIVIENDAS,5819
Trabajando,,,,,No,CRIA DE GANADO VACUNO PARA LA PRODCCION DE LECHE,5820
Trabajando,,,,,No,OFICIOS VARIOS CASAS DE FAMILIA BARRER LIMPIAR,5821
Trabajando,,,,,No,AGRICULTURA EN PRODUCCION DE ARROZ Y PANCOGER,5822
Trabajando,,,,,No,CONSTRUCCION Y MANTENIMIENTO DE VVIENDAS,5823
Trabajando,,,,,No,ORDENAR VACAS,5824
Trabajando,,,,,No,SERVICIOS DE LAVADO DE TANQUES Y ALBERCAS,5825
Trabajando,,,,,No,CORTAR MALEZA POR DIA,5826
Trabajando,,,,,No,COMPRA Y VENTA DE VIVERES,5827
Trabajando,,,,,No,VENTA DE DIFERENTES TIPOS DE COMIDA EN LA PLAZA DE MERCADO,5828
Trabajando,,,,,No,CARGAR Y DESCARGAR DIFERENTES TIPOS DE MERCANCIAS,5829
Oficios del hogar,Sí,,,,No,SERVICIO DE LAVADO PRENDAS DE VESTIR A PARTICULARES,5830
Trabajando,,,,,No,ASEO GENERAL LIMPIAR BARRER Y TRAPEAR,5831
Trabajando,,,,,No,AUXILIAR DE SOLDADOR PASA HERRAMIENTAS PARA REALIZAR PUERTAS VENTANAS,5832
Estudiando,Sí,,,,No,VENTA DE ACCESORIOS,5833
Trabajando,,,,,No,DISENO Y PUBLICIDAD DE CALCOMANIAS PARA MOTOS Y,5834
Trabajando,,,,,No,TRANSPORTE DE PASAJEROS SERVICIO DE TAXI MUNICIPAL,5835
Trabajando,,,,,No,VENTA Y DISTRIBUCION DE PRODUCTOS DE FERRETERIA Y PARA LA CONSTRUCCION,5836
Trabajando,,,,,No,CONSTRUCCION Y EDIFICACION DE OBRAS CIVILES,5837
Trabajando,,,,,Sí,EXPLOTACION DE MINERIA Y CARBON TERMICO,5838
Trabajando,,,,,Sí,COMERCIALIZACION DE COMESTICOS,5839
Trabajando,,,,,No,CULTIVO COSECHA Y VENTA DE ARBOLES FRUTALES,5840
Oficios del hogar,Sí,,,,No,CENTRO DE EVENTOS,5841
Trabajando,,,,,Sí,SERVICIOS DE SEGURIDAD,5842
Oficios del hogar,Sí,,,,No,COMERCIO DE ROPA PARA NINA AL POR MENOR,5843
Trabajando,,,,,No,PREPARACION Y VENTA DE QUESO CREMA AL POR MENOR,5844
Trabajando,,,,,Sí,VENTA DE EMBUTIDOS Y OTROS PRODUCTOS  CARNICOS,5845
Trabajando,,,,,No,CRIA Y VENTA DE POLLOS DE ENGORDE,5846
Trabajando,,,,,No,CRIA Y VENTA DE POLLOS DE EMGORDE,5847
Trabajando,,,,,No,ORDENA GANADO,5848
Trabajando,,,,,Sí,BRINDAR FORMACION PROFESIONAL A TRABAJADORES JOVENES Y ADULTOS,5849
Trabajando,,,,,Sí,COMERCIALIZA PRODUCTOS DE BELLEZA,5850
Trabajando,,,,,No,SIEMBRA ESPECIAL DE MAIZ,5851
Trabajando,,,,,Sí,PREVECCION DE ENFERMEDADES BUCALES,5852
Trabajando,,,,,No,ACTIVIDADES DE RECREACION Y ESPARCIMIENTO,5853
Buscando trabajo,Sí,,,,No,SIEMBRA ARROZ,5854
Trabajando,,,,,No,CRIA Y LEVATE DE GANADO VACUNO,5855
Trabajando,,,,,No,ASEO GENERAL BARRER TRAPEAR LIMPIAR COCINAR,5856
Trabajando,,,,,No,SIEMBRA  DE PASTO,5857
Trabajando,,,,,No,MANTENIMIENTOS DE LAS MOTOS,5858
Trabajando,,,,,No,CONSTRUIR MUROS PAREDES INTERIORES Y EXTERIORES DE EDIFICACIONES,5859
Trabajando,,,,,Sí,SERVICIOS DE EDUCACION SUPERIOR,5860
Trabajando,,,,,Sí,COMERCIO ELECTRONICO,5861
Oficios del hogar,Sí,,,,No,VENTA DE ROPA PARA DAMA,5862
Trabajando,,,,,Sí,APOYO TERAPEUTICO,5863
Estudiando,Sí,,,,No,PROGRAMAS DE FORMACION MARKETING DIGITAL,5864
Trabajando,,,,,Ya es pensionado,PRODUCCION LECHE CRUDA,5865
Buscando trabajo,Sí,,,,No,COMERCIO DE VIDRIOS,5866
Trabajando,,,,,No,FABRICA MALLAS,5867
Trabajando,,,,,Sí,FORMACION PROFESIONAL UNIVERSITARIA,5868
Oficios del hogar,Sí,,,,No,PAGO DE COMPARENDOS,5869
Oficios del hogar,No,No,Sí,,No,REALIZAR ZAPATOS,5870
Trabajando,,,,,No,VENTA DE PRODUCTOS LACTEOS,5871
Oficios del hogar,Sí,,,,No,COMERCIALIZACION DE PRODUCTOS NATURALES,5872
Trabajando,,,,,Sí,ADMINISTRAR COORDINAR Y COMPLEMENTAR LAS ACCIONES DE LOS MUNICIPIOS,5873
Trabajando,,,,,Sí,ADMINISTRAR Y PRESTAR LOS SERVICIOS PUBLICOS QUE DETERMINE LA LEY,5874
Trabajando,,,,,Sí,ADMINISTRAR Y VELAR POR RECURSOS DEL DEPARTAMENTO,5875
Trabajando,,,,,No,REPARA LA CARRPCERIA DE LOS VEHICULOS,5876
Trabajando,,,,,Sí,JEFE DE BODEGA,5877
